Month,Ticker,momentum_rsi,trend_macd,volatility_bbm,trend_ema_fast
2023-05-01,AAPL,55.39649852698897,0.6911772208141439,168.97359015495007,169.6045354030166
2023-05-01,AMZN,87.35860123227272,2.2089237527009518,107.17248716603568,108.35733719041917
2023-05-01,GOOGL,65.72549124518336,2.0638048493526737,109.86119964111462,112.10626411619106
2023-05-01,JNJ,32.957130034270065,-0.7968719305084861,152.20078205041665,151.5948882104697
2023-05-01,JPM,36.73530642737639,-0.9259725618530865,130.73993356231458,131.29465936849056
2023-05-01,META,44.846570952543495,-0.15247044158161704,237.38698208606627,240.01139189629666
2023-05-01,MSFT,62.686874298248284,1.9202329311030673,303.6117858336166,305.2674064113037
2023-05-01,NVDA,56.695523636802754,0.39415332280864185,28.98779005062662,29.689577937002426
2023-05-01,TSLA,67.12755567113979,2.917264952446699,167.27619258288868,169.613012707869
2023-05-01,V,42.66412778707068,-0.6118234683612733,226.20213088311894,226.7418720382656
2023-06-01,AAPL,70.2356214689178,2.882517231184419,176.79154677618118,179.09520913877915
2023-06-01,AMZN,68.06971079955882,4.191834325710605,121.11307184128535,123.4240572038284
2023-06-01,GOOGL,57.41945601150476,2.30550068631243,121.82451631455194,122.02221532047577
2023-06-01,JNJ,61.08143021516032,0.31397353617058293,150.2473644438244,151.40486914316435
2023-06-01,JPM,56.493424973230674,0.5179500247479163,132.15442726498557,133.02054951531142
2023-06-01,META,73.24271274584258,8.046897705959893,261.3818725949242,268.10635954661876
2023-06-01,MSFT,61.46315365205163,5.664544954035532,322.3564344860259,325.8891959328236
2023-06-01,NVDA,69.12859527404287,2.6178967340453205,37.0973129317874,39.0338815259974
2023-06-01,TSLA,80.864733415972,17.775867179494753,213.78966649373373,228.70412810762684
2023-06-01,V,49.82111270346683,-0.8793077230044148,223.40805504208518,223.09565722282656
2023-07-01,AAPL,64.2577684643826,3.0127203932650986,187.36289474487305,188.7563741942453
2023-07-01,AMZN,58.53700767880024,2.3969904984314225,129.20747478485106,129.95013037242109
2023-07-01,GOOGL,54.04280616715273,0.4202954315229405,120.69503664016725,120.9914110745196
2023-07-01,JNJ,55.17899999158599,0.8401324206192797,154.11797435760496,154.47056254803164
2023-07-01,JPM,71.80557400444005,2.85258840102466,138.87913414001463,141.55297558113975
2023-07-01,META,65.101919200926,8.741970681762865,289.6880239105225,294.69314936764226
2023-07-01,MSFT,55.36892144905594,3.549359464533089,333.43100044250485,335.0300808613008
2023-07-01,NVDA,64.4872106414231,1.7018548949299959,42.88341442108155,43.59475091990852
2023-07-01,TSLA,61.457267437485086,12.655883807604672,266.29727466583256,269.34690708556633
2023-07-01,V,61.161741302688974,2.864339482762304,231.0526565170288,233.64608990024053
2023-08-01,AAPL,40.278214963136136,-1.7385499390526975,184.72806058137314,182.15089207135657
2023-08-01,AMZN,54.88204981740407,1.6212176351280692,133.77789283420728,134.48582024232036
2023-08-01,GOOGL,58.57997960667637,1.9594994717067264,127.28884842914083,128.52860574761885
2023-08-01,JNJ,53.397745025113686,1.5006646190825526,160.36003590459407,160.91242090394098
2023-08-01,JPM,48.879560103075676,1.0342354755898484,147.44451486338738,146.52912142346412
2023-08-01,META,49.14343815767469,1.8898945728442957,304.0256526781165,301.54737628337864
2023-08-01,MSFT,43.36492554650691,-3.0160850580436134,327.1880043361498,323.4181541674684
2023-08-01,NVDA,53.78764882903793,0.5682673597731729,44.915099392766535,44.897255764125546
2023-08-01,TSLA,43.11041263252848,-4.251411943166252,254.90743494448455,247.9867625754135
2023-08-01,V,56.01113210161752,1.1893262623534735,236.12481181932534,236.34192776409154
